Reference; Quantity; Footprint; Value; Description; Voltage; Type; Tolerance; Size; Current; Power; 
C115 C116 ;2;SMD-0805;100p;'Ceramic capacitor;'50V;'C0G;'5%;'0805;';';
C105 C106 C117 C118 ;4;CAP-TH-D18mmP7.5mm;2200u;'Aluminium electrolytic;'25V;';';'7.5mm Pitch, 18mm Diameter;';';
C103 C104 C109 C110 C119 C120 C129 C130 C133 C134 C141 C142 C145 C146 ;14;SMD-0805;22u;'Ceramic capacitor;'25V;'X5R;'20%;'0805;';';
C107 C108 C111 C112 C121 C122 C131 C132 C135 C136 C139 C140 C143 C144 ;14;SMD-0805;100n;'Ceramic capacitor;'50V;'X7R;'10%;'0805;';';
C113 C114 C123 C124 C125 C126 ;6;SMD-0805;10n;'Ceramic capacitor;'50V;'X7R;'10%;'0805;';';
C101 C102 C127 C128 C137 C138 C147 C148 C149 C150 ;10;CAP-TH-D8mmP3.5mm;220u;'Aluminium electrolytic low impedance capacitor - eg Panasonic FC or FR parts;'25V;';';'3.5mm Pitch, 8mm Diameter;';';
D101 D102 ;2;DIODE-SMC;ES3D;'ES3D 3A 200V Fast Rectifier;';';';';';';
D103 D104 ;2;DIODE-SMA;B240A;'B240A 2A 40V Schottky Rectifier - SMA (DO-214AC);';';';';';';
D105 D106 D107 D108 ;4;DIODE-SOD-123;SS14L;'SS14L 1A 40V Schottky rectifier - Sub-SMA (SOD-123);';';';';';';
D109 ;1;SMD-1206;Green LED 1206;'Green LED - SMD - Vf 1.8V to 2.2V;';';';'1206;';';
FID1 FID2 FID3 FID4 ;4;FID-1MM-3MM;MNT_HOLE;'Fiducial;';';';';';';
L101 L102 ;2;SMD-0805;600R@100MHz;'Ferrite bead, current rating 2A or higher, 600R@100MHz;';';';'0805;'=>2A;';
L103 L104 ;2;IND-TYS5040-HS;TYS50406R8M-10;'Laird Technologies TYS5040 6.8uH Inductor - 2.5A Irms, 2.9A Isat, 0.043ohm, 21MHz;';';';';'2.5A;';
MNT1 MNT2 MNT3 MNT4 ;4;MNT_HOLE_3.2mm;MNT_HOLE;'Mounting hole;';';';';';';
P103 P106 P107 P108 P109 P110 P111 P112 P113 P114 P115 P116 P117 ;13;CONN-2WAY-2.54mm-3.81mm-SPACING;CONN_2x1;'2 way screw terminal, any 2.54mm to 3.81mm pitch part;';';';';';';
R101 R103 ;2;SMD-0805;475k;'Thick or thin film resistor;';';'1%;'0805;';'100mW;
R102 R104 ;2;SMD-0805;100k;'Thick or thin film resistor;';';'1%;'0805;';'100mW;
R105 R106 ;2;SMD-0805;47;'Thick or thin film resistor;';';'1%;'0805;';'100mW;
R107 ;1;SMD-0805;53k6;'Thick or thin film resistor;';';'1%;'0805;';'100mW;
R108 R111 ;2;SMD-0805;10k;'Thick or thin film resistor;';';'1%;'0805;';'100mW;
R109 ;1;SMD-0805;470;'Thick or thin film resistor;';';'1%;'0805;';'100mW;
R110 ;1;SMD-0805;66k5;'Thick or thin film resistor;';';'1%;'0805;';'100mW;
R113 R114 ;2;SMD-0805;750;'Thick or thin film resistor - 250mW;';';'1%;'0805;';'250mW;
R115 R116 ;2;SMD-0805;120;'Thick or thin film resistor - 250mW;';';'1%;'0805;';'250mW;
U101 U102 ;2;IC-SOT23-6;ADP2301AUJZ;'1.2 A, 20 V, 700 kHz/1.4 MHz, Nonsynchronous Step-Down Regulator;';';';';';';
U103 ;1;IC-TO220-HS-SW25-2G;LM317;'LM317 TO220 3-Terminal Adjustable Positive Regulator;';';';';';';
U104 ;1;IC-TO220-HS-SW25-2G;LM337;'LM337 TO220 3-Terminal Adjustable Negative Regulator;';';';';';';